model,num_real,synth_count,setup,accuracy,f1,train_size
resnet18,20,0,real-only,0.4162,0.4757,20
resnet18,20,20,real+synthetic_20,0.7946,0.5682,40
resnet18,20,40,real+synthetic_40,0.7622,0.3125,60
resnet18,20,60,real+synthetic_60,0.7297,0.0,80
resnet18,20,80,real+synthetic_80,0.4757,0.5026,100
resnet18,50,0,real-only,0.7297,0.0,50
resnet18,50,20,real+synthetic_20,0.7784,0.3051,70
resnet18,50,40,real+synthetic_40,0.7892,0.3607,90
resnet18,50,60,real+synthetic_60,0.8324,0.6076,110
resnet18,50,80,real+synthetic_80,0.8054,0.4545,130
resnet18,100,0,real-only,0.6,0.5316,100
resnet18,100,20,real+synthetic_20,0.8757,0.7013,120
resnet18,100,40,real+synthetic_40,0.8378,0.7115,140
resnet18,100,60,real+synthetic_60,0.9027,0.8269,160
resnet18,100,80,real+synthetic_80,0.8162,0.7258,180
resnet18,200,0,real-only,0.9676,0.9375,200
resnet18,200,20,real+synthetic_20,0.9351,0.88,220
resnet18,200,40,real+synthetic_40,0.9027,0.8421,240
resnet18,200,60,real+synthetic_60,0.9243,0.8542,260
resnet18,200,80,real+synthetic_80,0.9081,0.8522,280
mobilenet_v2,20,0,real-only,0.3027,0.4367,20
mobilenet_v2,20,20,real+synthetic_20,0.4324,0.4828,40
mobilenet_v2,20,40,real+synthetic_40,0.3351,0.4484,60
mobilenet_v2,20,60,real+synthetic_60,0.4054,0.4762,80
mobilenet_v2,20,80,real+synthetic_80,0.6162,0.5535,100
mobilenet_v2,50,0,real-only,0.5459,0.5385,50
mobilenet_v2,50,20,real+synthetic_20,0.7189,0.6286,70
mobilenet_v2,50,40,real+synthetic_40,0.5135,0.5161,90
mobilenet_v2,50,60,real+synthetic_60,0.4378,0.4902,110
mobilenet_v2,50,80,real+synthetic_80,0.7297,0.6575,130
mobilenet_v2,100,0,real-only,0.8919,0.7826,100
mobilenet_v2,100,20,real+synthetic_20,0.8595,0.7679,120
mobilenet_v2,100,40,real+synthetic_40,0.9189,0.8515,140
mobilenet_v2,100,60,real+synthetic_60,0.7297,0.6094,160
mobilenet_v2,100,80,real+synthetic_80,0.9405,0.8866,180
mobilenet_v2,200,0,real-only,0.9081,0.8211,200
mobilenet_v2,200,20,real+synthetic_20,0.8,0.7176,220
mobilenet_v2,200,40,real+synthetic_40,0.7784,0.6917,240
mobilenet_v2,200,60,real+synthetic_60,0.8486,0.7627,260
mobilenet_v2,200,80,real+synthetic_80,0.827,0.7143,280
